commentId,articleId,subject,daumName,recommendCount,disagreeCount,regDate,content,isBest
19103019,86042,열무와 알타리 19화 돌고돌고 돌고~ (1),신현정,478,18,2020-04-02 22:18:53,"힘이 어디서 나시나요....
아이들도 힘들겠지만....두분다 어디서 그런
힘이 나실까요~~??
존경스럽습니다...",True
19103014,86042,열무와 알타리 19화 돌고돌고 돌고~ (1),서지영,250,3,2020-04-02 22:18:39,작가님 항상 응원해요,True
19103358,86042,열무와 알타리 19화 돌고돌고 돌고~ (1),hio,166,4,2020-04-02 22:57:50,가슴아프고 심란한 상황인데 그 와중에 ‘찡찡찡 안아줘 안아줘’ 하는 아기들이 너무나 귀엽고 사랑스럽네요.,True
19103462,86042,열무와 알타리 19화 돌고돌고 돌고~ (1),건우맘-김건우,92,2,2020-04-02 23:11:28,"참 많이 아프더라구요. 입원도 자주하고...그래도 4세 중반 넘어가니 기침도 조금하다말고, 콧물도 조금 하다 마네요. 항생제를 몇달을 먹었던 아이였는데 좀 자랐다고 훨 나아지더라구요.
쌍둥이들도 돌고, 형제자매도 돌고...면역이 약한 아기들은 함께, 그와중에 엄마한테도 옮겨와서 같이 수액맞고, 그랬지만 좀 크니까 낫네요. ",True
19104569,86042,열무와 알타리 19화 돌고돌고 돌고~ (1),kai,56,1,2020-04-03 02:16:57,7개월 된 쌍둥이 키우는데 처음으로 지난 주에 선둥이 데리고 4박5일 입원했어요. 그 때 열무와 알타리 생각 많이 나더라구요. 다행히 선둥이 혼자 입원하고 끝나긴 했는데 쌍둥이인지라 나중에는 둘이 옮고 옮기겠죠?ㅠ 작가님 부부도 고생 많으셨겠어요~,True
19105034,86042,열무와 알타리 19화 돌고돌고 돌고~ (1),이연주,44,1,2020-04-03 06:28:42,작가님. 지금은 애들 많이 커서 건강해졌길 빕니다.아무래도 크면 확실히 감기도 들 걸리더라고요. 참고로 셀리시드라고 애들 코에 아침 저녁으로 뿌려주면 감기 들 걸려요. 혹시 지금도 감기 자주 걸림 한 번 시도해보세요. ,True
19104286,86042,열무와 알타리 19화 돌고돌고 돌고~ (1),Leia,35,2,2020-04-03 01:12:02,이 시국에ㅠㅠ 7개월 아가 데리고 응급실 갔다가 일주일 입원했어요. 응급실 들어갈때 코로나검사로 폐 엑스레이는 필수였습니다. 그래도 한번 해보니 다음에 더 잘 할 수 있을 것 같다는 생각이 드네요. 육아하는 부모들 모두 화이팅!! 작가님도 화이팅!!,True
19112332,86042,열무와 알타리 19화 돌고돌고 돌고~ (1),최유진,32,0,2020-04-05 00:06:43,"작가님  힘내세요
어제 처음 정주행하고 예전 생각나서 엄청 울었네요. 옆에서 신랑이 웹툰보지 말라는 정도로요
저도 이른둥이 3명에 다행히 이상없이 잘 크고 있지만 마음이 어땠을줄 아니까...오늘 혼냈던것까지 생각나서 넘 슬펐네요
덤덤한듯 아니 세심한듯...위대한 부모님 잘 보고 있습니다. 건강도 꼬옥 챙기시고 늘 응원합니다",True
19110470,86042,열무와 알타리 19화 돌고돌고 돌고~ (1),뾰료로롱,28,1,2020-04-04 19:13:18,아픈와중에도 뒤집기를하는 열무~ 넘 기특하네요~,True
19105187,86042,열무와 알타리 19화 돌고돌고 돌고~ (1),진수,22,1,2020-04-03 08:31:08,"작가님~  저도 이른둥이 첫애를 키워서 너무 공감이 가네요..ㅜㅜ
저도 끝나지않는 병원 투어 입원에 경제적 압박에 너무 힘들었는데 어느덧 10살이네요....이제는 누구보다 엄마 아빠 아껴주고 사랑해주는 아들입니다ㅜㅜ 힘내세요. 응원합니다ㅜㅜ",True
